index,sub_index,name,access,bytes,unit,default,kind,ctype,eds_type
0x6000,0x00,Battery status,ro,1,,0,scalar,uint8_t,0x0005
0x6001,0x00,Charger status,ro,1,,0,scalar,uint8_t,0x0005
0x6010,0x00,Temperature,ro,2,0.125 C,0,scalar,int16_t,0x0003
0x6020,0x00,highest_sub_index_supported,ro,1,,0x04,record,uint8_t,0x0005
0x6020,0x01,battery_type,ro,1,,0xA0,record,uint8_t,0x0005
0x6020,0x02,capacity,ro,2,Ah,60,record,uint16_t,0x0006
0x6020,0x03,max_charge_current,ro,2,A,60,record,uint16_t,0x0006
0x6020,0x04,number_of_cells,ro,2,,182,record,uint16_t,0x0006
0x6030,0x00,highest_sub_index_supported,ro,1,,0x02,record,uint8_t,0x0005
0x6030,0x01,ascii_characters_1_to_4,ro,4,,0x30303030,record,uint32_t,0x0007
0x6030,0x02,ascii_characters_5_to_8,ro,4,,0x30303030,record,uint32_t,0x0007
0x6050,0x00,Cumulative total Ah charge,ro,4,Ah,0,scalar,uint32_t,0x0007
0x6051,0x00,Ah expended since last charge,ro,2,0.125 Ah,0,scalar,uint16_t,0x0006
0x6052,0x00,Ah returned during last charge,ro,2,0.125 Ah,0,scalar,uint16_t,0x0006
0x6060,0x00,Battery voltage,ro,4,1/1024 V,0,scalar,uint32_t,0x0007
0x6070,0x00,Charge current requested,ro,2,1/16 A,320,scalar,uint16_t,0x0006
0x6081,0x00,Battery State of Charge,ro,1,%,0,scalar,uint8_t,0x0005

