sub_index,field,name,access,bytes,unit,default,ctype,eds_type,note,source_row
0x00,highestSub_indexSupported,Highest sub-index supported,ro,1,N/A,0x70,uint8_t,0x0005,Workbook row 392 says 0x29; resolved to 0x70 because defined entries reach 0x70. Vendor clarification required.,392
0x01,ntc1,NTC1,ro,2,0.1K,2980,uint16_t,0x0006,,393
0x02,ntc2,NTC2,ro,2,0.1k,2980,uint16_t,0x0006,,394
0x03,ntc3,NTC3,ro,2,0.1k,2980,uint16_t,0x0006,,395
0x04,ntc4,NTC4,ro,2,0.1k,2980,uint16_t,0x0006,,396
0x05,ntc5,NTC5,ro,2,0.1k,2980,uint16_t,0x0006,,397
0x06,ntc6,NTC6,ro,2,0.1k,2980,uint16_t,0x0006,,398
0x07,ntc7,NTC7,ro,2,0.1k,2980,uint16_t,0x0006,,399
0x08,ntc8,NTC8,ro,2,0.1k,2980,uint16_t,0x0006,,400
0x09,ntc9,NTC9,ro,2,0.1k,2980,uint16_t,0x0006,,401
0x0A,ntc10,NTC10,ro,2,0.1k,2980,uint16_t,0x0006,,402
0x0B,ntc11,NTC11,ro,2,0.1k,2980,uint16_t,0x0006,,403
0x0C,ntc12,NTC12,ro,2,0.1k,2980,uint16_t,0x0006,,404
0x0D,ntc13,NTC13,ro,2,0.1k,2980,uint16_t,0x0006,,405
0x0E,ntc14,NTC14,ro,2,0.1k,2980,uint16_t,0x0006,,406
0x0F,ntc15,NTC15,ro,2,0.1k,2980,uint16_t,0x0006,,407
0x10,ntc16,NTC16,ro,2,0.1k,2980,uint16_t,0x0006,,408
0x11,pack_volt_adc_vaule,Pack volt ADC vaule,ro,2,N/A,0,uint16_t,0x0006,,409
0x12,battery_volt_adc_vaule,Battery volt ADC vaule,ro,2,N/A,0,uint16_t,0x0006,,410
0x13,buck_charge_adc_value,Buck Charge ADC value,ro,2,N/A,0,uint16_t,0x0006,,411
0x14,reserved_for_adc_value,Reserved for ADC Value,ro,2,N/A,0,uint16_t,0x0006,,412
0x15,reserved_for_adc_value_2,Reserved for ADC Value,ro,2,N/A,0,uint16_t,0x0006,,413
