index,name,access,bytes,unit,default,kind,ctype,eds_type,count
0x1008,Manufacturer Device Name,ro,32,VISIBLE_STRING,,identity,char[32],0x0009,
0x1009,Manufacturer Hardware Version,ro,16,VISIBLE_STRING,,identity,char[16],0x0009,
0x100A,Manufacturer Software Version,ro,16,VISIBLE_STRING,,identity,char[16],0x0009,
0x4800,SOH,ro,1,%,0,application,,,
0x4801,Operation Mode,ro,2,N/A,0,application,,,
0x4802,Charge Fault,ro,2,N/A,0,application,,,
0x4803,Discharge Fault,ro,2,N/A,0,application,,,
0x4804,Current,ro,2,100mA,0,application,,,
0x4805,Regen Current Limit,ro,2,100mA,0,application,,,
0x4806,Charge Current Limit,ro,2,100mA,0,application,,,
0x4807,Discharge Current Limit,ro,2,100mA,0,application,,,
0x4808,Min Cell Temperature,ro,2,0.125'C,0,application,,,
0x4809,Max Cell Temperature,ro,2,0.125'C,0,application,,,
0x480A,Min Cell Voltage,ro,2,mV,0,application,,,
0x480B,Max Cell Voltage,ro,2,mV,0,application,,,
0x480C,System SOC,ro,1,%,0,application,,,
0x480D,Cell Balancing Status,ro,1,N/A,0,application,,,
0x480E,Pack Voltage,ro,2,mV,0,application,,,
0x480F,Remain Run Time,ro,2,MIN,0,application,,,
0x4810,Heater Status,ro,2,N/A,0,application,,,
0x4811,Remaining Charge Time,ro,2,MIN,0,application,,,
0x4812,Remain Capacity,ro,2,Ah,0,application,,,
0x4813,Full Charge Capacity,ro,2,Ah,0,application,,,
0x4819,Command enter Sleep,rw,2,N/A,0,application,,,
0x4850,VB NumberOfBatteries,ro,1,N/A,0,application,,,
0x4851,VB SOC %,ro,1,%,0,application,,,
0x4852,VB Current Stored Ah,ro,2,Ah,0,application,,,
0x4853,VB Remaining Run Time,ro,2,Min,0,application,,,
0x4854,VB Remaining Charge Time,ro,2,Min,0,application,,,
0x4855,VB Pack Voltage,ro,2,mV,0,application,,,
0x4856,VB Current,ro,2,100mA,0,application,,,
0x4857,VB Discharge Current Limit,ro,2,100mA,0,application,,,
0x4858,VB Charge Cut Off Current,ro,1,100mA,0,application,,,
0x4859,VB FullyCharged,ro,1,N/A,0,application,,,
0x485A,VB Temperature,ro,2,0.125'C,0,application,,,
0x485B,VB Discharge Cut Off Voltage,ro,2,mV,20000,application,,,
0x485C,VB Charge Current Limit,ro,2,100mA,0,application,,,
0x485D,VB Max Allowed Charge Voltage,ro,2,mV,28000,application,,,
0x485E,VB SOH,ro,1,%,0,application,,,
0x485F,VB Number Of Batteries Fault,ro,1,N/A,0,application,,,
0x4860,VB Number Of Active Batteries,ro,1,N/A,0,application,,,
0x4861,VB Operational Mode,ro,1,N/A,0,application,,,
0x4862,VB Charge Fault,ro,2,N/A,0,application,,,
0x4863,VB Discharge Fault,ro,2,N/A,0,application,,,
0x4864,VB Regen Current Limit,ro,2,100mA,0,application,,,
0x4865,VB min cell voltage,ro,2,mV,0,application,,,
0x4866,VB max cell voltage,ro,2,mV,0,application,,,
0x4867,VB Cell Balance Status_ALL,ro,2,N/A,0,application,,,
0x4868,VB Pack Voltage_ALL,ro,2,N/A,0,application,,,
0x4869,VB SOC %_ALL,ro,1,N/A,0,application,,,
0x486A,VB Temperature_ALL,ro,2,N/A,0,application,,,
0x486B,VB Heater Status,ro,2,N/A,0,application,,,
0x486C,Master node ID,ro,1,N/A,0x04,application,,,
0x4880,Charger taper/cut off current,ro,2,100mA,15,application,,,
0x4881,Maximum Pack charge voltage,ro,2,mV,58100,application,,,
0x4882,Maximum Cell charge voltage,ro,2,mV,4150,application,,,
0x4883,Pack charge voltage requested (CV),ro,2,mV,58100,application,,,
0x4900,BQ8050 SMBus Data,array,2,N/A,0,application,,,
0x4901,Set broadcast node ID,rw,1,N/A,0,application,,,
0x4903,Set Zivan Charger node ID,rw,1,N/A,9,application,,,
0x4904,set enter sleep time,rw,2,N/A,0,application,,,
0x4920,Voltage Calibration Enable,rw,2,N/A,0,application,,,
0x4921,Voltage Calibration Value,rw,2,N/A,0,application,,,
0xD001,D001 diagnostic bytes,rw,1,raw,0,diagnostic_array,uint8_t,0x0005,254
